"name","total_jobs","analyst_jobs","scientist_jobs","machine_learning_jobs","cloud_jobs","software_jobs","other_engineer_jobs"
"Emprego","6661","1985","1387","155","338","1152","1644"
"Booz Allen Hamilton","2890","410","1876","22","1","13","568"
"Dice","2825","760","579","17","7","10","1452"
"Harnham","2551","439","1185","48","24","48","807"
"Insight Global","2254","1058","502","13","7","37","637"
"Citi","2186","1455","416","7","36","58","214"
"Confidenziale","2039","859","434","34","85","269","358"
"Capital One","1983","92","287","3","0","8","1593"
"Listopro","1973","61","491","43","17","165","1196"
"Robert Half","1863","1196","207","3","10","36","411"
"Walmart","1862","283","1330","6","9","23","211"
"UnitedHealth Group","1819","1029","531","0","5","30","224"
"Michael Page","1760","653","368","32","22","69","616"
"Accenture","1708","580","462","33","52","72","509"
"Deloitte","1700","465","705","10","20","23","477"
"Guidehouse","1691","261","1247","5","0","4","174"
"SynergisticIT","1538","412","1031","13","0","70","12"
"Capgemini","1504","309","350","14","17","70","744"
"Upwork","1415","50","857","31","1","5","471"
"Randstad","1388","586","229","29","26","82","436"
"IBM","1295","114","351","17","11","40","762"
"Hays","1270","469","242","21","27","79","432"
"Amazon","1266","325","275","22","49","109","486"
"Confidential","1232","526","270","16","1","51","368"
"EPAM Systems","1143","139","130","65","36","112","661"
"Wells Fargo","1130","508","284","2","1","17","318"
"EY","1123","353","316","12","17","13","412"
"Jobot","1105","434","270","5","0","7","389"
"CGI","1105","223","189","4","9","32","648"
"Leidos","1038","231","648","2","4","11","142"
"ClickJobs.io","1000","307","222","9","9","20","433"
"Motion Recruitment","992","209","278","8","0","7","490"
"Tata Consultancy Services","989","106","173","13","20","25","652"
"PepsiCo","959","492","186","6","5","32","238"
"Get It Recruit - Information Technology","932","666","112","1","4","5","144"
"Tesla","927","420","234","5","2","11","255"
"Visa","924","88","357","17","8","75","379"
"S&P Global","916","401","178","6","6","57","268"
"Apple","885","129","374","52","10","108","212"
"Experis","866","349","168","7","20","35","287"
"Bosch Group","843","249","203","57","20","37","277"
"Peraton","841","130","548","1","6","12","144"
"Diverse Lynx","838","242","207","2","6","15","366"
"Turing","829","97","192","110","30","108","292"
"TikTok","816","257","338","43","4","49","125"
"HP","789","227","265","11","11","24","251"
"Jobs for Humanity","785","168","180","14","2","33","388"
