"job_title","rocketchat_count","wire_count","clickup_count","gitlab_count","powerbi_count","bitbucket_count","python_count","vue_count","svn_count","nuix_count","sql_server_count","plotly_count","f_sharp_count","jquery_count","linode_count","shell_count","couchbase_count","xamarin_count","react_count","mlr_count","drupal_count","firestore_count","opencv_count","go_count","tableau_count","ansible_count","java_count","unreal_count","dingtalk_count","codecommit_count","ember_js_count","react_js_count","typescript_count","slack_count","scikit_learn_count","cpp_count","flask_count","postgresql_count","visio_count","clojure_count","gtx_count","html_count","outlook_count","yarn_count","node_count","asana_count","mxnet_count","unity_count","angular_count","pytorch_count","ringcentral_count","ovh_count","deno_count","datarobot_count","blazor_count","spark_count","cobol_count","julia_count","laravel_count","suse_count","ubuntu_count","play_framework_count","word_count","rshiny_count","power_bi_count","bash_count","atlassian_count","spreadsheet_count","powerpoint_count","mlpack_count","oracle_count","chainer_count","asp_net_count","css_count","delphi_count","kali_count","ibm_cloud_count","bigquery_count","trello_count","solidity_count","pandas_count","npm_count","alteryx_count","gdpr_count","assembly_count","mattermost_count","microstrategy_count","homebrew_count","wimi_count","rust_count","mongodb_count","esquisse_count","redhat_count","ssrs_count","kafka_count","windows_count","huggingface_count","theano_count","vmware_count","nosql_count","ionic_count","sheets_count","symfony_count","visualbasic_count","mysql_count","node_js_count","t_sql_count","monday_com_count","elixir_count","flow_count","fastify_count","sqlite_count","powershell_count","gcp_count","linux_count","aurora_count","jenkins_count","qt_count","elasticsearch_count","asp_net_core_count","macos_count","groovy_count","microsoft_teams_count","sap_count","jupyter_count","watson_count","haskell_count","tidyr_count","r_count","digitalocean_count","no_sql_count","zoom_count","flutter_count","lua_count","airtable_count","confluence_count","dplyr_count","chef_count","dlib_count","nltk_count","webex_count","wrike_count","unix_count","couchdb_count","aws_count","wsl_count","excel_count","php_count","puppet_count","neo4j_count","firebase_count","notion_count","crystal_count","airflow_count","tensorflow_count","kotlin_count","c_sharp_count","colocation_count","splunk_count","apl_count","hugging_face_count","keras_count","ssis_count","heroku_count","twilio_count","tidyverse_count","fedora_count","express_count","django_count","ruby_count","debian_count","seaborn_count","vb_net_count","javascript_count","rubyon_rails_count","sqlserver_count","jira_count","graphql_count","dax_count","redis_count","msaccess_count","fastapi_count","objective_c_count","visual_basic_count","ruby_on_rails_count","terraform_count","ggplot2_count","docker_count","swift_count","electron_count","cassandra_count","pascal_count","erlang_count","next_js_count","pulumi_count","dynamodb_count","svelte_count","cordova_count","arch_count","github_count","microsoft_lists_count","c_count","angular_js_count","pyspark_count","git_count","numpy_count","gatsby_count","lisp_count","cognos_count","workfront_count","planner_count","sass_count","redshift_count","kubernetes_count","perl_count","asp_netcore_count","openstack_count","centos_count","fortran_count","snowflake_count","azure_count","ocaml_count","smartsheet_count","db2_count","mongo_count","selenium_count","unify_count","databricks_count","terminal_count","spring_count","mariadb_count","spss_count","symphony_count","vba_count","scala_count","sql_count","qlik_count","vue_js_count","ms_access_count","golang_count","sharepoint_count","nuxt_js_count","capacitor_count","shogun_count","phoenix_count","dart_count","google_chat_count","hadoop_count","sas_count","looker_count","matplotlib_count","matlab_count"
"Business Analyst","0","76","23","133","12","82","8097","94","23","0","1840","23","1","36","0","292","6","0","212","10","17","3","5","1916","9324","122","1120","6","0","1","0","10","75","124","95","221","22","322","867","2","0","375","1155","18","38","71","4","81","88","66","7","0","0","7","1","747","22","30","5","4","32","2","3675","5","9251","149","118","444","4591","0","2327","1","40","241","6","1","21","510","65","11","259","25","1079","344","155","3","519","0","0","42","352","0","15","816","222","577","0","4","104","342","1","779","3","0","540","34","397","24","5","2405","0","4","162","583","610","26","263","0","72","3","36","19","53","3651","98","80","2","1","4035","1","19","128","25","5","17","729","9","117","0","8","17","4","185","2","1823","0","17134","160","23","20","86","95","185","319","91","22","331","22","170","3","5","40","921","8","8","3","0","590","39","204","5","34","44","772","0","2","1727","30","1192","52","0","14","7","193","6","177","4","309","165","12","74","2","0","3","5","41","2","2","17","250","0","630","0","178","519","142","0","2","523","13","120","10","624","328","106","0","26","5","3","1188","2538","3","84","152","41","280","60","527","144","125","29","504","12","1444","234","17372","1144","5","260","38","968","0","1","1","134","10","2","632","3604","1129","88","214"
"Cloud Engineer","0","16","0","274","0","120","3126","42","28","2","325","5","1","38","0","402","10","6","259","1","14","9","3","879","413","811","1225","14","0","18","0","15","227","54","28","316","22","262","63","0","0","286","118","23","98","3","5","60","139","59","0","2","0","1","4","650","9","12","9","36","156","0","335","0","383","601","81","20","170","0","462","0","19","217","1","2","18","275","5","16","95","13","28","158","90","0","24","0","0","44","522","0","104","30","537","1105","0","1","539","378","3","71","3","0","313","126","44","0","9","404","0","0","654","1202","1637","48","709","0","170","3","53","67","19","261","46","18","1","0","363","3","25","49","19","9","2","164","0","209","0","3","12","1","253","6","3081","0","766","138","211","30","104","44","14","260","95","63","353","42","196","2","3","18","49","5","2","0","4","125","43","504","24","2","2","746","0","0","374","66","21","126","0","18","10","14","28","1605","0","1152","61","6","107","2","3","3","38","148","1","2","3","454","0","295","6","148","754","49","1","3","15","2","16","7","281","1552","190","0","147","59","2","386","2951","0","3","33","48","91","25","434","33","121","27","15","3","36","334","2229","58","24","9","171","145","0","3","0","13","3","0","319","178","174","4","59"
"Data Analyst","0","101","21","514","58","338","57326","891","58","13","8304","465","4","209","0","1197","22","2","791","13","42","13","46","7928","46554","186","5251","23","0","6","0","12","131","434","714","1798","236","1935","2275","10","1","1798","4031","76","126","176","20","277","376","486","24","1","0","41","5","5041","93","225","26","1","29","10","13591","109","39468","536","337","2141","13848","0","10410","1","181","1042","17","4","157","3436","110","50","2869","24","4579","2007","547","2","1626","0","0","67","2110","1","43","2721","1205","2026","0","8","184","2441","12","3135","22","0","3188","128","1433","60","23","7289","0","54","684","3395","1828","184","728","8","406","11","176","73","311","11297","941","141","4","16","30075","16","180","465","63","17","87","1926","94","726","0","33","94","39","1170","4","9063","16","67031","889","40","234","826","382","1183","2012","772","64","1654","13","729","53","11","210","3042","13","30","79","0","1797","217","608","8","404","129","4610","0","8","4753","83","3414","120","1","36","11","1082","25","270","128","1001","328","32","321","8","14","4","3","209","13","29","63","1388","8","3008","2","1605","2933","1534","0","8","2147","32","403","39","2207","635","578","0","25","21","35","6194","10942","0","368","1013","284","157","206","3162","574","734","117","4711","57","6870","1864","92628","5693","24","1723","79","4094","1","1","3","315","66","24","4202","28068","6271","944","2023"
"Data Engineer","0","90","40","4080","31","2143","108265","653","446","5","16968","366","84","272","1","9414","392","10","1998","4","37","175","108","9020","18815","3392","35642","45","1","110","3","173","1178","549","1634","4372","1448","9526","759","107","0","1409","807","1265","643","82","48","557","1447","1791","17","56","0","121","17","53789","107","323","79","22","284","13","3342","83","18894","4037","612","171","1247","15","16153","1","256","1012","14","5","824","10405","136","125","6258","62","2298","1974","324","4","1302","3","0","562","16606","0","314","3323","29163","3334","0","47","728","22017","39","344","47","0","10090","907","4353","23","82","9717","4","82","3255","22251","11063","1649","9508","17","4280","25","155","413","111","5687","1882","163","98","0","12697","27","1350","329","95","43","68","3584","62","1171","3","108","49","6","5489","113","62174","16","8519","1142","600","1434","402","433","317","25556","2295","701","6314","214","1598","17","31","750","9987","49","53","17","11","1527","1157","2552","71","246","99","5909","0","6","7263","1036","2225","2222","0","678","28","218","127","9991","64","15781","287","25","6699","28","33","36","158","3723","19","23","47","7008","0","2910","45","16100","19300","2769","18","11","1308","4","147","70","18056","14875","1264","2","175","244","33","26681","60823","5","60","1898","1963","702","392","27532","263","1947","500","398","55","872","28791","113375","3599","182","141","1284","1038","0","0","4","476","44","11","28883","7510","4166","628","875"
"Data Scientist","0","57","5","1460","35","914","114016","532","233","10","4088","2465","6","306","6","1954","48","5","1223","66","25","40","1234","7653","29513","447","16314","61","0","40","0","56","307","405","11636","8098","1432","2615","543","42","0","1407","1521","249","234","98","669","226","738","15075","22","15","0","416","10","24353","15","1442","29","0","135","2","5221","454","15744","1513","407","505","4855","8","5730","7","140","949","11","0","444","3206","127","125","14866","47","2075","1029","319","1","818","8","1","299","6258","2","84","671","3582","1880","4","557","128","7483","9","556","8","0","3947","344","596","35","49","4617","3","93","412","8736","5108","340","2333","29","1698","10","92","57","105","3610","4182","360","29","33","59754","185","467","361","69","36","65","1632","377","564","16","1668","30","8","1674","11","26311","31","17601","700","92","1170","218","415","402","3919","19193","199","2582","21","981","104","526","7575","994","22","30","641","9","1432","1013","1418","16","2322","58","5172","0","1","3447","169","878","509","0","532","9","372","47","830","862","7761","303","82","1597","21","11","14","19","517","9","32","74","4534","0","4743","12","6872","12285","10818","0","34","511","2","190","18","2862","4667","1333","0","52","100","144","5766","21698","6","56","441","512","246","189","8567","326","1420","145","3351","85","2058","10416","79174","3714","54","296","403","1155","1","0","1","518","55","0","15575","29642","3011","5309","6775"
"Machine Learning Engineer","0","22","1","274","1","111","9685","32","22","1","142","68","9","22","0","285","14","1","235","1","4","4","328","941","405","194","2349","30","0","6","0","7","122","112","1999","1190","271","277","19","30","0","112","55","16","30","5","136","33","92","4389","0","0","0","72","1","2717","2","58","5","12","49","1","273","8","257","279","40","9","103","0","267","3","17","77","2","0","25","317","13","4","1573","8","62","83","62","0","12","3","0","73","660","0","21","35","885","188","0","83","23","742","6","36","0","0","447","49","26","1","6","493","0","4","68","1689","1054","64","571","2","261","1","14","12","8","200","292","26","15","1","1571","6","60","46","7","10","5","126","4","46","13","175","4","0","160","0","3780","3","585","60","30","40","34","22","6","1171","4307","57","282","4","70","2","142","1457","72","5","3","12","0","113","148","248","6","91","7","398","0","0","298","33","24","221","0","240","2","12","13","763","6","2672","53","7","182","2","6","6","12","122","0","0","5","617","0","365","1","491","1616","1258","1","3","7","0","7","2","221","2315","64","0","12","14","9","383","2732","3","3","22","39","51","34","921","24","98","14","24","2","58","1132","3497","61","13","7","144","33","1","3","0","13","2","0","1193","364","68","357","203"
"Senior Data Analyst","0","21","11","78","11","76","11083","62","3","7","1694","125","0","50","1","253","4","0","158","0","1","3","10","1513","10015","30","764","0","0","5","0","3","16","127","177","172","47","308","421","0","0","275","535","7","22","30","13","51","54","121","9","0","0","22","0","1374","29","25","1","0","2","0","1754","24","6014","90","94","214","2156","0","1892","0","29","158","3","0","13","858","23","7","540","47","1187","253","67","2","464","0","0","7","418","0","3","556","231","260","0","1","36","446","0","364","1","0","504","57","319","4","1","1436","0","12","71","750","268","22","82","5","76","0","16","8","34","1550","265","47","0","3","6252","3","21","86","6","0","10","383","24","38","0","8","10","10","238","1","2134","1","8317","74","18","53","188","84","179","598","188","5","185","2","142","1","2","73","655","1","23","12","0","321","19","108","0","77","16","577","0","1","1036","6","531","20","0","3","0","131","2","66","18","175","85","2","71","1","0","5","0","40","0","6","5","322","0","535","0","373","684","289","0","0","438","22","50","9","819","137","103","0","4","1","2","1990","2279","0","38","148","76","27","71","921","41","53","15","698","11","927","477","17752","1017","2","337","13","635","0","0","0","95","6","5","1011","5534","1987","159","223"
"Senior Data Engineer","0","34","11","1012","6","533","28980","96","119","2","4140","56","23","52","3","2967","66","3","597","0","16","55","34","2858","4704","878","10172","18","0","31","0","45","435","247","315","934","331","2576","132","29","0","285","127","315","147","30","26","174","303","408","10","9","0","7","2","16116","21","44","11","6","63","5","570","11","4152","999","218","24","198","0","4050","0","81","242","15","0","59","3225","38","8","1474","13","467","645","74","11","275","0","0","260","4632","0","70","716","9727","765","0","7","168","6983","2","42","1","0","3365","271","1150","2","17","2690","0","28","795","6299","2565","596","2299","3","1289","23","30","78","22","1114","536","13","24","0","2514","6","413","122","29","15","20","901","8","280","0","22","2","0","1123","37","19404","2","1478","166","217","368","84","112","76","8723","615","286","1492","34","337","2","11","219","2383","23","13","9","0","432","251","662","10","68","28","1274","0","5","1884","325","561","827","0","201","2","33","42","3601","8","4637","106","2","2454","0","22","23","87","1376","4","1","17","2286","0","687","19","4179","4644","689","6","6","270","0","32","22","6751","4956","318","0","46","32","2","9140","16231","1","10","478","1149","164","140","7821","67","523","121","68","20","75","8662","28687","749","42","18","542","174","3","3","0","83","19","2","7879","1530","1473","130","134"
"Senior Data Scientist","0","7","12","299","6","157","25996","89","62","2","867","575","0","64","0","380","11","0","204","17","7","5","314","2102","5959","62","3135","20","0","21","0","7","50","113","3244","1281","327","537","71","5","0","217","266","61","51","11","204","69","101","4386","10","3","0","73","0","6638","4","265","2","0","24","0","988","75","2788","290","123","75","948","2","1160","0","11","135","1","1","74","1069","16","18","3614","11","432","261","47","0","166","0","0","76","1172","0","10","148","874","524","0","162","38","1695","2","75","1","0","730","46","137","7","2","1275","0","31","65","2618","1112","56","471","4","385","2","38","17","12","721","968","80","11","18","12772","16","129","79","15","3","10","325","83","99","5","426","1","1","288","8","7468","14","3285","75","7","214","44","83","51","1407","5068","48","503","0","222","6","243","1880","235","0","36","91","13","432","148","216","2","485","9","790","0","2","717","37","165","175","0","143","1","90","7","230","197","2015","82","19","252","0","0","0","2","93","0","10","25","969","0","841","0","1847","2963","2510","0","0","104","0","30","6","886","1336","147","0","19","22","27","1891","5529","0","5","86","63","54","40","2268","76","165","6","545","32","226","2856","18661","661","6","45","132","127","0","0","1","71","5","0","3534","6292","1324","1174","1089"
"Software Engineer","1","42","8","1346","8","582","15289","464","208","0","1919","60","29","456","9","1526","68","35","3560","0","36","27","114","3942","1798","1785","9882","68","0","12","9","326","2604","424","255","3084","678","2386","168","70","0","1710","377","145","613","50","24","166","2028","544","6","12","2","46","28","3503","56","49","176","39","469","28","896","8","1412","1428","353","61","501","0","2867","0","456","1709","20","4","62","812","37","76","713","179","116","345","242","2","112","0","0","529","3706","0","207","275","3666","2670","0","8","833","2700","58","196","76","1","2520","1108","325","20","117","1703","19","60","993","3301","5550","219","2875","86","1338","106","186","278","66","1090","222","19","68","3","1252","12","187","229","163","49","11","1005","8","464","1","38","17","4","1139","33","10480","13","2625","972","489","192","234","138","78","1398","646","930","3146","16","673","9","12","179","515","85","51","10","14","660","983","2292","159","23","90","5038","1","3","2047","898","264","1458","0","372","90","73","320","2919","4","6331","423","44","714","4","47","115","132","735","57","27","23","2169","0","1722","30","486","4660","433","8","8","109","6","38","180","806","6635","623","1","285","164","28","1531","7128","17","15","235","296","524","153","1129","134","2053","164","54","13","177","2292","12375","264","268","52","1383","426","6","4","1","64","37","0","1813","930","407","125","345"
