"job_title","programming_count","sync_count","analyst_tools_count","libraries_count","databases_count","webframeworks_count","os_count","cloud_count","other_count","async_count"
"Business Analyst","41812","490","61917","4126","3378","1288","1487","10451","5149","2972"
"Cloud Engineer","14389","180","3456","3065","1879","1046","3436","9946","8563","614"
"Data Analyst","245850","1748","258269","27885","17416","5013","5385","49956","17426","8365"
"Data Engineer","400227","1660","93880","180571","66612","11567","21055","248162","101087","11847"
"Data Scientist","357616","1285","113408","159178","20158","8210","9203","84558","42120","6081"
"Machine Learning Engineer","24834","231","2673","23686","2097","1205","1526","10492","9896","481"
"Senior Data Analyst","45987","399","42794","6232","3253","828","794","11866","3390","1701"
"Senior Data Engineer","107538","623","20812","53567","19543","2821","4683","73920","29075","3040"
"Senior Data Scientist","78381","330","22577","40813","4010","1623","2073","23197","10328","1217"
"Software Engineer","82062","1004","12910","22094","13822","10640","10637","29723","33355","3379"
